"","V1"
"376",-0.79399
"377",-0.98505
"378",0.90361
"379",0.071542
"380",1.706
"381",-0.42089
"382",-0.44229
"383",0.74326
"384",-1.2284
"385",-1.3715
"386",-0.58738
"387",-0.59747
"388",-0.71693
"389",-0.66029
"390",-0.94819
"391",-1.0925
"392",-1.2263
"393",-0.44841
"394",-0.38037
"395",-1.1168
"396",-0.33821
"397",1.0152
"398",0.98058
"399",0.099967
"400",-1.37
"401",-0.98654
"402",-0.48139
"403",-1.2412
"404",-0.99765
"405",1.1339
"406",-0.094405
"407",1.7622
"408",-0.825
"409",-0.49433
"410",-0.55718
"411",-0.14084
"412",0.79988
"413",-0.0098988
"414",-0.94378
"415",-1.9197
"416",0.11827
"417",-0.54078
"418",-0.73036
"419",-0.7489
"420",0.83839
"421",-0.96483
"422",0.16874
"423",-0.97467
"424",0.3735
"425",-0.8361
"426",-0.65936
"427",-0.71776
"428",-1.4952
"429",-1.6149
"430",0.35373
"431",-0.25701
"432",1.1896
"433",-0.36604
"434",3.194
"435",-0.96332
"436",-0.97062
"437",-0.41957
"438",-0.40568
"439",-0.81975
"440",0.22023
"441",-1.5723
"442",-1.3787
"443",-0.98148
"444",-1.4093
"445",0.90294
"446",-0.29868
"447",-1.3084
"448",1.6568
"449",-0.39828
"450",-0.67707
"451",1.3685
"452",-1.5927
"453",1.839
"454",-0.9783
"455",-0.44506
"456",-1.5169
